,geocentricTime,RA,DEC
0,2433282.5,148.50331,23.84733
1,2433283.5,148.49113,23.85532
2,2433284.5,148.47867,23.86335
3,2433285.5,148.46596,23.87142
4,2433286.5,148.45299,23.87952
5,2433287.5,148.43976,23.88764
6,2433288.5,148.42628,23.8958
7,2433289.5,148.41256,23.90398
8,2433290.5,148.3986,23.91218
9,2433291.5,148.38441,23.9204
10,2433292.5,148.36998,23.92864
11,2433293.5,148.35533,23.93689
12,2433294.5,148.34047,23.94516
13,2433295.5,148.32538,23.95343
14,2433296.5,148.31009,23.96172
15,2433297.5,148.2946,23.97
16,2433298.5,148.27891,23.97829
17,2433299.5,148.26303,23.98658
18,2433300.5,148.24697,23.99486
19,2433301.5,148.23073,24.00313
20,2433302.5,148.21432,24.0114
21,2433303.5,148.19775,24.01965
22,2433304.5,148.18102,24.02788
23,2433305.5,148.16414,24.0361
24,2433306.5,148.14711,24.0443
25,2433307.5,148.12995,24.05247
26,2433308.5,148.11266,24.06061
27,2433309.5,148.09525,24.06873
28,2433310.5,148.07772,24.07681
29,2433311.5,148.06008,24.08486
30,2433312.5,148.04233,24.09287
31,2433313.5,148.02449,24.10084
32,2433314.5,148.00656,24.10877
33,2433315.5,147.98855,24.11666
34,2433316.5,147.97045,24.1245
35,2433317.5,147.95229,24.13229
36,2433318.5,147.93406,24.14003
37,2433319.5,147.91577,24.14771
38,2433320.5,147.89743,24.15535
39,2433321.5,147.87904,24.16292
40,2433322.5,147.86062,24.17043
41,2433323.5,147.84216,24.17788
42,2433324.5,147.82368,24.18527
43,2433325.5,147.80518,24.19259
44,2433326.5,147.78667,24.19983
45,2433327.5,147.76816,24.20701
46,2433328.5,147.74966,24.21411
47,2433329.5,147.73116,24.22114
48,2433330.5,147.71268,24.22808
49,2433331.5,147.69424,24.23494
50,2433332.5,147.67582,24.24172
51,2433333.5,147.65745,24.24842
52,2433334.5,147.63912,24.25502
53,2433335.5,147.62085,24.26154
54,2433336.5,147.60264,24.26796
55,2433337.5,147.5845,24.27429
56,2433338.5,147.56644,24.28052
57,2433339.5,147.54845,24.28666
58,2433340.5,147.53056,24.2927
59,2433341.5,147.51276,24.29864
60,2433342.5,147.49507,24.30447
61,2433343.5,147.47748,24.31021
62,2433344.5,147.46,24.31583
63,2433345.5,147.44265,24.32136
64,2433346.5,147.42542,24.32677
65,2433347.5,147.40832,24.33207
66,2433348.5,147.39135,24.33727
67,2433349.5,147.37453,24.34235
68,2433350.5,147.35786,24.34732
69,2433351.5,147.34134,24.35218
70,2433352.5,147.32499,24.35692
71,2433353.5,147.3088,24.36155
72,2433354.5,147.29279,24.36605
73,2433355.5,147.27696,24.37044
74,2433356.5,147.26131,24.3747
75,2433357.5,147.24585,24.37885
76,2433358.5,147.23059,24.38287
77,2433359.5,147.21554,24.38676
78,2433360.5,147.2007,24.39053
79,2433361.5,147.18607,24.39418
80,2433362.5,147.17166,24.39769
81,2433363.5,147.15748,24.40108
82,2433364.5,147.14352,24.40434
83,2433365.5,147.12981,24.40747
84,2433366.5,147.11633,24.41048
85,2433367.5,147.1031,24.41335
86,2433368.5,147.09012,24.41609
87,2433369.5,147.07739,24.4187
88,2433370.5,147.06493,24.42118
89,2433371.5,147.05272,24.42353
90,2433372.5,147.04078,24.42574
91,2433373.5,147.0291,24.42783
92,2433374.5,147.0177,24.42978
93,2433375.5,147.00658,24.4316
94,2433376.5,146.99574,24.43329
95,2433377.5,146.98518,24.43485
96,2433378.5,146.9749,24.43627
97,2433379.5,146.96492,24.43757
98,2433380.5,146.95523,24.43873
99,2433381.5,146.94584,24.43975
100,2433382.5,146.93676,24.44065
101,2433383.5,146.92797,24.44141
102,2433384.5,146.9195,24.44204
103,2433385.5,146.91134,24.44253
104,2433386.5,146.90349,24.4429
105,2433387.5,146.89597,24.44313
106,2433388.5,146.88876,24.44322
107,2433389.5,146.88188,24.44319
108,2433390.5,146.87532,24.44302
109,2433391.5,146.86909,24.44272
110,2433392.5,146.86319,24.4423
111,2433393.5,146.85763,24.44174
112,2433394.5,146.8524,24.44105
113,2433395.5,146.84751,24.44023
114,2433396.5,146.84295,24.43928
115,2433397.5,146.83873,24.43821
116,2433398.5,146.83486,24.43701
117,2433399.5,146.83132,24.43569
118,2433400.5,146.82812,24.43424
119,2433401.5,146.82527,24.43266
120,2433402.5,146.82276,24.43096
121,2433403.5,146.82059,24.42914
122,2433404.5,146.81877,24.4272
123,2433405.5,146.81729,24.42514
124,2433406.5,146.81616,24.42296
125,2433407.5,146.81538,24.42066
126,2433408.5,146.81494,24.41825
127,2433409.5,146.81485,24.41571
128,2433410.5,146.8151,24.41306
129,2433411.5,146.81571,24.41029
130,2433412.5,146.81667,24.40741
131,2433413.5,146.81797,24.40442
132,2433414.5,146.81963,24.40131
133,2433415.5,146.82163,24.3981
134,2433416.5,146.82399,24.39477
135,2433417.5,146.82669,24.39133
136,2433418.5,146.82975,24.38779
137,2433419.5,146.83315,24.38413
138,2433420.5,146.8369,24.38038
139,2433421.5,146.841,24.37652
140,2433422.5,146.84544,24.37255
141,2433423.5,146.85022,24.36849
142,2433424.5,146.85535,24.36433
143,2433425.5,146.86082,24.36006
144,2433426.5,146.86663,24.35571
145,2433427.5,146.87278,24.35126
146,2433428.5,146.87926,24.34671
147,2433429.5,146.88608,24.34207
148,2433430.5,146.89322,24.33735
149,2433431.5,146.9007,24.33253
150,2433432.5,146.90851,24.32763
151,2433433.5,146.91664,24.32264
152,2433434.5,146.92509,24.31757
153,2433435.5,146.93387,24.31242
154,2433436.5,146.94296,24.30719
155,2433437.5,146.95238,24.30187
156,2433438.5,146.96211,24.29648
157,2433439.5,146.97216,24.29101
158,2433440.5,146.98252,24.28546
159,2433441.5,146.99319,24.27984
160,2433442.5,147.00417,24.27415
161,2433443.5,147.01546,24.26839
162,2433444.5,147.02705,24.26256
163,2433445.5,147.03894,24.25666
164,2433446.5,147.05113,24.2507
165,2433447.5,147.06361,24.24467
166,2433448.5,147.07638,24.23858
167,2433449.5,147.08945,24.23243
168,2433450.5,147.10279,24.22622
169,2433451.5,147.11642,24.21996
170,2433452.5,147.13033,24.21364
171,2433453.5,147.14452,24.20727
172,2433454.5,147.15897,24.20085
173,2433455.5,147.17369,24.19438
174,2433456.5,147.18867,24.18786
175,2433457.5,147.20391,24.1813
176,2433458.5,147.21941,24.17469
177,2433459.5,147.23516,24.16805
178,2433460.5,147.25115,24.16136
179,2433461.5,147.26739,24.15464
180,2433462.5,147.28387,24.14788
181,2433463.5,147.30058,24.14109
182,2433464.5,147.31753,24.13427
183,2433465.5,147.3347,24.12741
184,2433466.5,147.35211,24.12053
185,2433467.5,147.36973,24.11362
186,2433468.5,147.38758,24.10668
187,2433469.5,147.40563,24.09972
188,2433470.5,147.4239,24.09274
189,2433471.5,147.44238,24.08574
190,2433472.5,147.46105,24.07872
191,2433473.5,147.47993,24.07168
192,2433474.5,147.499,24.06463
193,2433475.5,147.51826,24.05757
194,2433476.5,147.5377,24.05049
195,2433477.5,147.55732,24.04341
196,2433478.5,147.57712,24.03632
197,2433479.5,147.59709,24.02923
198,2433480.5,147.61722,24.02213
199,2433481.5,147.63751,24.01504
200,2433482.5,147.65796,24.00795
201,2433483.5,147.67856,24.00086
202,2433484.5,147.6993,23.99378
203,2433485.5,147.72018,23.9867
204,2433486.5,147.7412,23.97964
205,2433487.5,147.76235,23.97258
206,2433488.5,147.78362,23.96555
207,2433489.5,147.80501,23.95852
208,2433490.5,147.82651,23.95152
209,2433491.5,147.84813,23.94453
210,2433492.5,147.86985,23.93757
211,2433493.5,147.89167,23.93062
212,2433494.5,147.9136,23.9237
213,2433495.5,147.93561,23.91681
214,2433496.5,147.95771,23.90995
215,2433497.5,147.9799,23.90311
216,2433498.5,148.00216,23.8963
217,2433499.5,148.0245,23.88953
218,2433500.5,148.0469,23.8828
219,2433501.5,148.06937,23.8761
220,2433502.5,148.09189,23.86944
221,2433503.5,148.11447,23.86281
222,2433504.5,148.1371,23.85624
223,2433505.5,148.15976,23.84971
224,2433506.5,148.18246,23.84322
225,2433507.5,148.2052,23.83678
226,2433508.5,148.22795,23.8304
227,2433509.5,148.25073,23.82406
228,2433510.5,148.27352,23.81778
229,2433511.5,148.29632,23.81156
230,2433512.5,148.31912,23.8054
231,2433513.5,148.34191,23.79929
232,2433514.5,148.3647,23.79325
233,2433515.5,148.38747,23.78727
234,2433516.5,148.41022,23.78136
235,2433517.5,148.43295,23.77552
236,2433518.5,148.45565,23.76974
237,2433519.5,148.47831,23.76403
238,2433520.5,148.50094,23.7584
239,2433521.5,148.52352,23.75284
240,2433522.5,148.54605,23.74735
241,2433523.5,148.56853,23.74194
242,2433524.5,148.59095,23.7366
243,2433525.5,148.61331,23.73135
244,2433526.5,148.63559,23.72617
245,2433527.5,148.6578,23.72108
246,2433528.5,148.67994,23.71608
247,2433529.5,148.70198,23.71115
248,2433530.5,148.72394,23.70632
249,2433531.5,148.74581,23.70157
250,2433532.5,148.76757,23.69692
251,2433533.5,148.78922,23.69235
252,2433534.5,148.81077,23.68789
253,2433535.5,148.83219,23.68351
254,2433536.5,148.8535,23.67924
255,2433537.5,148.87467,23.67506
256,2433538.5,148.89571,23.67098
257,2433539.5,148.91661,23.667
258,2433540.5,148.93737,23.66313
259,2433541.5,148.95797,23.65937
260,2433542.5,148.97842,23.6557
261,2433543.5,148.99871,23.65215
262,2433544.5,149.01883,23.6487
263,2433545.5,149.03879,23.64537
264,2433546.5,149.05857,23.64214
265,2433547.5,149.07817,23.63902
266,2433548.5,149.09759,23.63602
267,2433549.5,149.11682,23.63313
268,2433550.5,149.13586,23.63035
269,2433551.5,149.15471,23.62769
270,2433552.5,149.17335,23.62515
271,2433553.5,149.19179,23.62272
272,2433554.5,149.21002,23.62042
273,2433555.5,149.22803,23.61823
274,2433556.5,149.24583,23.61616
275,2433557.5,149.2634,23.61421
276,2433558.5,149.28074,23.61239
277,2433559.5,149.29786,23.61068
278,2433560.5,149.31473,23.60911
279,2433561.5,149.33136,23.60766
280,2433562.5,149.34775,23.60633
281,2433563.5,149.36389,23.60513
282,2433564.5,149.37977,23.60406
283,2433565.5,149.39539,23.60312
284,2433566.5,149.41075,23.60231
285,2433567.5,149.42583,23.60163
286,2433568.5,149.44065,23.60108
287,2433569.5,149.45519,23.60066
288,2433570.5,149.46944,23.60037
289,2433571.5,149.48341,23.60022
290,2433572.5,149.4971,23.6002
291,2433573.5,149.51049,23.60031
292,2433574.5,149.52359,23.60055
293,2433575.5,149.5364,23.60093
294,2433576.5,149.5489,23.60144
295,2433577.5,149.5611,23.60208
296,2433578.5,149.573,23.60286
297,2433579.5,149.58458,23.60377
298,2433580.5,149.59586,23.60481
299,2433581.5,149.60682,23.60599
300,2433582.5,149.61746,23.6073
301,2433583.5,149.62778,23.60874
302,2433584.5,149.63778,23.61032
303,2433585.5,149.64746,23.61203
304,2433586.5,149.65681,23.61388
305,2433587.5,149.66582,23.61585
306,2433588.5,149.6745,23.61797
307,2433589.5,149.68285,23.62021
308,2433590.5,149.69086,23.62259
309,2433591.5,149.69852,23.6251
310,2433592.5,149.70584,23.62775
311,2433593.5,149.71282,23.63052
312,2433594.5,149.71944,23.63343
313,2433595.5,149.72572,23.63647
314,2433596.5,149.73164,23.63964
315,2433597.5,149.73721,23.64295
316,2433598.5,149.74242,23.64638
317,2433599.5,149.74728,23.64994
318,2433600.5,149.75178,23.65363
319,2433601.5,149.75592,23.65744
320,2433602.5,149.7597,23.66139
321,2433603.5,149.76312,23.66545
322,2433604.5,149.76619,23.66964
323,2433605.5,149.76889,23.67395
324,2433606.5,149.77124,23.67839
325,2433607.5,149.77322,23.68294
326,2433608.5,149.77484,23.68761
327,2433609.5,149.77611,23.6924
328,2433610.5,149.77701,23.69731
329,2433611.5,149.77755,23.70233
330,2433612.5,149.77773,23.70747
331,2433613.5,149.77755,23.71272
332,2433614.5,149.77701,23.71808
333,2433615.5,149.77611,23.72356
334,2433616.5,149.77485,23.72914
335,2433617.5,149.77323,23.73483
336,2433618.5,149.77125,23.74062
337,2433619.5,149.76891,23.74653
338,2433620.5,149.76621,23.75253
339,2433621.5,149.76315,23.75864
340,2433622.5,149.75974,23.76485
341,2433623.5,149.75597,23.77115
342,2433624.5,149.75185,23.77756
343,2433625.5,149.74738,23.78406
344,2433626.5,149.74256,23.79065
345,2433627.5,149.73739,23.79733
346,2433628.5,149.73187,23.8041
347,2433629.5,149.72601,23.81096
348,2433630.5,149.71981,23.8179
349,2433631.5,149.71327,23.82492
350,2433632.5,149.7064,23.83202
351,2433633.5,149.6992,23.8392
352,2433634.5,149.69167,23.84646
353,2433635.5,149.68381,23.85378
354,2433636.5,149.67564,23.86118
355,2433637.5,149.66714,23.86865
356,2433638.5,149.65833,23.87618
357,2433639.5,149.6492,23.88377
358,2433640.5,149.63977,23.89143
359,2433641.5,149.63003,23.89915
360,2433642.5,149.61999,23.90692
361,2433643.5,149.60964,23.91475
362,2433644.5,149.59901,23.92263
363,2433645.5,149.58808,23.93056
364,2433646.5,149.57687,23.93854
365,2433647.5,149.56537,23.94656
366,2433648.5,149.55359,23.95463
367,2433649.5,149.54153,23.96274
368,2433650.5,149.5292,23.97089
369,2433651.5,149.51661,23.97907
370,2433652.5,149.50375,23.98728
371,2433653.5,149.49064,23.99553
372,2433654.5,149.47727,24.0038
373,2433655.5,149.46366,24.01209
374,2433656.5,149.4498,24.02041
375,2433657.5,149.43571,24.02874
376,2433658.5,149.4214,24.03709
377,2433659.5,149.40685,24.04546
378,2433660.5,149.39209,24.05383
379,2433661.5,149.37712,24.06221
380,2433662.5,149.36195,24.07059
381,2433663.5,149.34657,24.07898
382,2433664.5,149.331,24.08736
383,2433665.5,149.31524,24.09574
384,2433666.5,149.2993,24.10411
385,2433667.5,149.28318,24.11248
386,2433668.5,149.2669,24.12083
387,2433669.5,149.25044,24.12917
388,2433670.5,149.23383,24.13749
389,2433671.5,149.21707,24.14579
390,2433672.5,149.20016,24.15407
391,2433673.5,149.18312,24.16233
392,2433674.5,149.16593,24.17056
393,2433675.5,149.14862,24.17876
394,2433676.5,149.13119,24.18692
395,2433677.5,149.11364,24.19506
396,2433678.5,149.09598,24.20315
397,2433679.5,149.07822,24.21121
398,2433680.5,149.06036,24.21922
399,2433681.5,149.04242,24.22719
400,2433682.5,149.02439,24.23511
401,2433683.5,149.00629,24.24298
402,2433684.5,148.98813,24.2508
403,2433685.5,148.9699,24.25856
404,2433686.5,148.95162,24.26626
405,2433687.5,148.9333,24.2739
406,2433688.5,148.91494,24.28148
407,2433689.5,148.89655,24.28899
408,2433690.5,148.87813,24.29643
409,2433691.5,148.8597,24.3038
410,2433692.5,148.84126,24.3111
411,2433693.5,148.82282,24.31832
412,2433694.5,148.80438,24.32547
413,2433695.5,148.78596,24.33253
414,2433696.5,148.76755,24.33952
415,2433697.5,148.74917,24.34642
416,2433698.5,148.73082,24.35323
417,2433699.5,148.7125,24.35996
418,2433700.5,148.69423,24.3666
419,2433701.5,148.67601,24.37315
420,2433702.5,148.65785,24.3796
421,2433703.5,148.63975,24.38597
422,2433704.5,148.62172,24.39223
423,2433705.5,148.60376,24.3984
424,2433706.5,148.58589,24.40447
425,2433707.5,148.5681,24.41043
426,2433708.5,148.55042,24.4163
427,2433709.5,148.53283,24.42205
428,2433710.5,148.51536,24.4277
429,2433711.5,148.498,24.43325
430,2433712.5,148.48077,24.43868
431,2433713.5,148.46366,24.44399
432,2433714.5,148.4467,24.4492
433,2433715.5,148.42987,24.45429
434,2433716.5,148.4132,24.45926
435,2433717.5,148.39668,24.46411
436,2433718.5,148.38033,24.46885
437,2433719.5,148.36414,24.47346
438,2433720.5,148.34813,24.47795
439,2433721.5,148.33229,24.48232
440,2433722.5,148.31665,24.48657
441,2433723.5,148.30119,24.49069
442,2433724.5,148.28593,24.49469
443,2433725.5,148.27087,24.49856
444,2433726.5,148.25601,24.5023
445,2433727.5,148.24137,24.50592
446,2433728.5,148.22694,24.5094
447,2433729.5,148.21274,24.51276
448,2433730.5,148.19876,24.51599
449,2433731.5,148.185,24.51909
450,2433732.5,148.17149,24.52206
451,2433733.5,148.15821,24.5249
452,2433734.5,148.14517,24.5276
453,2433735.5,148.13239,24.53018
454,2433736.5,148.11985,24.53262
455,2433737.5,148.10758,24.53493
456,2433738.5,148.09556,24.5371
457,2433739.5,148.08382,24.53914
458,2433740.5,148.07234,24.54104
459,2433741.5,148.06115,24.54281
460,2433742.5,148.05023,24.54444
461,2433743.5,148.0396,24.54594
462,2433744.5,148.02925,24.5473
463,2433745.5,148.0192,24.54853
464,2433746.5,148.00944,24.54961
465,2433747.5,147.99999,24.55057
466,2433748.5,147.99083,24.55138
467,2433749.5,147.98198,24.55206
468,2433750.5,147.97344,24.55261
469,2433751.5,147.96521,24.55302
470,2433752.5,147.95729,24.5533
471,2433753.5,147.94969,24.55344
472,2433754.5,147.94241,24.55345
473,2433755.5,147.93544,24.55333
474,2433756.5,147.9288,24.55307
475,2433757.5,147.92248,24.55268
476,2433758.5,147.91649,24.55216
477,2433759.5,147.91082,24.55152
478,2433760.5,147.90548,24.55074
479,2433761.5,147.90047,24.54983
480,2433762.5,147.8958,24.54879
481,2433763.5,147.89146,24.54762
482,2433764.5,147.88746,24.54633
483,2433765.5,147.88379,24.5449
484,2433766.5,147.88047,24.54335
485,2433767.5,147.87749,24.54168
486,2433768.5,147.87485,24.53987
487,2433769.5,147.87255,24.53794
488,2433770.5,147.8706,24.53589
489,2433771.5,147.869,24.53372
490,2433772.5,147.86775,24.53142
491,2433773.5,147.86684,24.529
492,2433774.5,147.86628,24.52646
493,2433775.5,147.86607,24.5238
494,2433776.5,147.86622,24.52102
495,2433777.5,147.86671,24.51812
496,2433778.5,147.86755,24.51511
497,2433779.5,147.86874,24.51199
498,2433780.5,147.87027,24.50875
499,2433781.5,147.87216,24.5054
500,2433782.5,147.87439,24.50194
501,2433783.5,147.87697,24.49837
502,2433784.5,147.87989,24.49469
503,2433785.5,147.88316,24.49091
504,2433786.5,147.88677,24.48702
505,2433787.5,147.89072,24.48303
506,2433788.5,147.89501,24.47894
507,2433789.5,147.89965,24.47474
508,2433790.5,147.90462,24.47045
509,2433791.5,147.90993,24.46606
510,2433792.5,147.91558,24.46157
511,2433793.5,147.92157,24.45698
512,2433794.5,147.92789,24.4523
513,2433795.5,147.93455,24.44752
514,2433796.5,147.94154,24.44266
515,2433797.5,147.94886,24.4377
516,2433798.5,147.95652,24.43265
517,2433799.5,147.9645,24.42752
518,2433800.5,147.97281,24.4223
519,2433801.5,147.98144,24.417
520,2433802.5,147.9904,24.41161
521,2433803.5,147.99968,24.40614
522,2433804.5,148.00928,24.4006
523,2433805.5,148.01919,24.39497
524,2433806.5,148.02942,24.38927
525,2433807.5,148.03996,24.3835
526,2433808.5,148.0508,24.37766
527,2433809.5,148.06195,24.37174
528,2433810.5,148.0734,24.36576
529,2433811.5,148.08515,24.35971
530,2433812.5,148.0972,24.3536
531,2433813.5,148.10953,24.34742
532,2433814.5,148.12216,24.34118
533,2433815.5,148.13507,24.33489
534,2433816.5,148.14826,24.32853
535,2433817.5,148.16173,24.32213
536,2433818.5,148.17548,24.31566
537,2433819.5,148.1895,24.30915
538,2433820.5,148.20379,24.30258
539,2433821.5,148.21835,24.29597
540,2433822.5,148.23317,24.28931
541,2433823.5,148.24826,24.2826
542,2433824.5,148.2636,24.27585
543,2433825.5,148.2792,24.26905
544,2433826.5,148.29505,24.26222
545,2433827.5,148.31115,24.25534
546,2433828.5,148.3275,24.24843
547,2433829.5,148.34408,24.24149
548,2433830.5,148.3609,24.23451
549,2433831.5,148.37795,24.2275
550,2433832.5,148.39523,24.22047
551,2433833.5,148.41274,24.2134
552,2433834.5,148.43046,24.20632
553,2433835.5,148.4484,24.19921
554,2433836.5,148.46655,24.19208
555,2433837.5,148.4849,24.18493
556,2433838.5,148.50345,24.17776
557,2433839.5,148.52221,24.17058
558,2433840.5,148.54115,24.16339
559,2433841.5,148.56028,24.15619
560,2433842.5,148.57959,24.14898
561,2433843.5,148.59908,24.14177
562,2433844.5,148.61874,24.13455
563,2433845.5,148.63858,24.12732
564,2433846.5,148.65857,24.1201
565,2433847.5,148.67873,24.11288
566,2433848.5,148.69905,24.10566
567,2433849.5,148.71951,24.09844
568,2433850.5,148.74013,24.09123
569,2433851.5,148.76089,24.08403
570,2433852.5,148.78178,24.07683
571,2433853.5,148.80282,24.06965
572,2433854.5,148.82398,24.06248
573,2433855.5,148.84527,24.05533
574,2433856.5,148.86667,24.04819
575,2433857.5,148.8882,24.04108
576,2433858.5,148.90983,24.03398
577,2433859.5,148.93157,24.02691
578,2433860.5,148.95341,24.01987
579,2433861.5,148.97534,24.01285
580,2433862.5,148.99736,24.00586
581,2433863.5,149.01947,23.9989
582,2433864.5,149.04165,23.99198
583,2433865.5,149.06391,23.9851
584,2433866.5,149.08623,23.97825
585,2433867.5,149.10861,23.97144
586,2433868.5,149.13105,23.96467
587,2433869.5,149.15355,23.95795
588,2433870.5,149.17608,23.95127
589,2433871.5,149.19866,23.94464
590,2433872.5,149.22128,23.93806
591,2433873.5,149.24392,23.93153
592,2433874.5,149.26659,23.92505
593,2433875.5,149.28928,23.91863
594,2433876.5,149.31199,23.91226
595,2433877.5,149.3347,23.90595
596,2433878.5,149.35743,23.8997
597,2433879.5,149.38015,23.89351
598,2433880.5,149.40288,23.88738
599,2433881.5,149.42559,23.88131
600,2433882.5,149.44829,23.87531
601,2433883.5,149.47097,23.86938
602,2433884.5,149.49363,23.86352
603,2433885.5,149.51625,23.85773
604,2433886.5,149.53885,23.85201
605,2433887.5,149.5614,23.84637
606,2433888.5,149.5839,23.8408
607,2433889.5,149.60635,23.83531
608,2433890.5,149.62875,23.8299
609,2433891.5,149.65108,23.82458
610,2433892.5,149.67334,23.81934
611,2433893.5,149.69553,23.81418
612,2433894.5,149.71764,23.80911
613,2433895.5,149.73966,23.80414
614,2433896.5,149.76159,23.79925
615,2433897.5,149.78343,23.79445
616,2433898.5,149.80516,23.78975
617,2433899.5,149.82678,23.78514
618,2433900.5,149.8483,23.78063
619,2433901.5,149.8697,23.77622
620,2433902.5,149.89097,23.77191
621,2433903.5,149.91212,23.76769
622,2433904.5,149.93314,23.76358
623,2433905.5,149.95402,23.75957
624,2433906.5,149.97477,23.75567
625,2433907.5,149.99537,23.75187
626,2433908.5,150.01582,23.74817
627,2433909.5,150.03611,23.74459
628,2433910.5,150.05625,23.74111
629,2433911.5,150.07622,23.73774
630,2433912.5,150.09602,23.73449
631,2433913.5,150.11565,23.73135
632,2433914.5,150.1351,23.72832
633,2433915.5,150.15436,23.72541
634,2433916.5,150.17344,23.72261
635,2433917.5,150.19232,23.71994
636,2433918.5,150.211,23.71738
637,2433919.5,150.22948,23.71494
638,2433920.5,150.24774,23.71263
639,2433921.5,150.26579,23.71044
640,2433922.5,150.28363,23.70837
641,2433923.5,150.30123,23.70643
642,2433924.5,150.31861,23.70461
643,2433925.5,150.33575,23.70292
644,2433926.5,150.35266,23.70136
645,2433927.5,150.36933,23.69993
646,2433928.5,150.38574,23.69862
647,2433929.5,150.40191,23.69744
648,2433930.5,150.41783,23.6964
649,2433931.5,150.43349,23.69548
650,2433932.5,150.44889,23.6947
651,2433933.5,150.46402,23.69404
652,2433934.5,150.47888,23.69352
653,2433935.5,150.49348,23.69313
654,2433936.5,150.5078,23.69287
655,2433937.5,150.52184,23.69274
656,2433938.5,150.5356,23.69275
657,2433939.5,150.54907,23.69289
658,2433940.5,150.56225,23.69317
659,2433941.5,150.57514,23.69358
660,2433942.5,150.58773,23.69412
661,2433943.5,150.60002,23.6948
662,2433944.5,150.61201,23.69562
663,2433945.5,150.62369,23.69658
664,2433946.5,150.63506,23.69767
665,2433947.5,150.64611,23.69889
666,2433948.5,150.65685,23.70026
667,2433949.5,150.66726,23.70176
668,2433950.5,150.67735,23.7034
669,2433951.5,150.68711,23.70517
670,2433952.5,150.69654,23.70708
671,2433953.5,150.70564,23.70913
672,2433954.5,150.71441,23.71131
673,2433955.5,150.72283,23.71363
674,2433956.5,150.73092,23.71609
675,2433957.5,150.73867,23.71867
676,2433958.5,150.74608,23.7214
677,2433959.5,150.75314,23.72425
678,2433960.5,150.75986,23.72724
679,2433961.5,150.76623,23.73036
680,2433962.5,150.77226,23.73361
681,2433963.5,150.77793,23.73699
682,2433964.5,150.78326,23.7405
683,2433965.5,150.78823,23.74414
684,2433966.5,150.79285,23.7479
685,2433967.5,150.79712,23.7518
686,2433968.5,150.80103,23.75582
687,2433969.5,150.80458,23.75997
688,2433970.5,150.80777,23.76424
689,2433971.5,150.81061,23.76864
690,2433972.5,150.81309,23.77316
691,2433973.5,150.8152,23.7778
692,2433974.5,150.81696,23.78257
693,2433975.5,150.81835,23.78745
694,2433976.5,150.81938,23.79246
695,2433977.5,150.82005,23.79758
696,2433978.5,150.82035,23.80282
697,2433979.5,150.82029,23.80818
698,2433980.5,150.81987,23.81365
699,2433981.5,150.81908,23.81923
700,2433982.5,150.81793,23.82492
701,2433983.5,150.81643,23.83072
702,2433984.5,150.81456,23.83663
703,2433985.5,150.81233,23.84264
704,2433986.5,150.80975,23.84876
705,2433987.5,150.80681,23.85498
706,2433988.5,150.80352,23.8613
