,geocentricTime,RA,DEC
0,2433282.5,273.17182,-22.77545
1,2433283.5,273.20039,-22.77532
2,2433284.5,273.2289,-22.77518
3,2433285.5,273.25733,-22.77503
4,2433286.5,273.28569,-22.77487
5,2433287.5,273.31396,-22.77471
6,2433288.5,273.34214,-22.77453
7,2433289.5,273.37023,-22.77435
8,2433290.5,273.39821,-22.77417
9,2433291.5,273.42608,-22.77398
10,2433292.5,273.45384,-22.77378
11,2433293.5,273.48146,-22.77357
12,2433294.5,273.50896,-22.77336
13,2433295.5,273.53632,-22.77315
14,2433296.5,273.56353,-22.77292
15,2433297.5,273.59058,-22.7727
16,2433298.5,273.61748,-22.77246
17,2433299.5,273.64421,-22.77223
18,2433300.5,273.67076,-22.77198
19,2433301.5,273.69713,-22.77174
20,2433302.5,273.7233,-22.77149
21,2433303.5,273.74928,-22.77123
22,2433304.5,273.77506,-22.77098
23,2433305.5,273.80063,-22.77072
24,2433306.5,273.82598,-22.77046
25,2433307.5,273.8511,-22.77019
26,2433308.5,273.876,-22.76993
27,2433309.5,273.90067,-22.76966
28,2433310.5,273.92509,-22.76939
29,2433311.5,273.94926,-22.76912
30,2433312.5,273.97319,-22.76885
31,2433313.5,273.99685,-22.76858
32,2433314.5,274.02026,-22.76831
33,2433315.5,274.04339,-22.76804
34,2433316.5,274.06625,-22.76777
35,2433317.5,274.08884,-22.76751
36,2433318.5,274.11114,-22.76724
37,2433319.5,274.13315,-22.76698
38,2433320.5,274.15486,-22.76671
39,2433321.5,274.17628,-22.76645
40,2433322.5,274.19738,-22.7662
41,2433323.5,274.21818,-22.76594
42,2433324.5,274.23866,-22.76569
43,2433325.5,274.25882,-22.76544
44,2433326.5,274.27865,-22.76519
45,2433327.5,274.29814,-22.76495
46,2433328.5,274.3173,-22.76471
47,2433329.5,274.33611,-22.76448
48,2433330.5,274.35458,-22.76425
49,2433331.5,274.37269,-22.76403
50,2433332.5,274.39044,-22.76381
51,2433333.5,274.40783,-22.7636
52,2433334.5,274.42486,-22.7634
53,2433335.5,274.44151,-22.7632
54,2433336.5,274.45779,-22.76301
55,2433337.5,274.4737,-22.76283
56,2433338.5,274.48922,-22.76265
57,2433339.5,274.50436,-22.76249
58,2433340.5,274.51911,-22.76233
59,2433341.5,274.53348,-22.76218
60,2433342.5,274.54745,-22.76203
61,2433343.5,274.56102,-22.7619
62,2433344.5,274.5742,-22.76178
63,2433345.5,274.58698,-22.76166
64,2433346.5,274.59935,-22.76156
65,2433347.5,274.61132,-22.76147
66,2433348.5,274.62288,-22.76138
67,2433349.5,274.63403,-22.76131
68,2433350.5,274.64477,-22.76124
69,2433351.5,274.65508,-22.76119
70,2433352.5,274.66499,-22.76115
